Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10003_001,SE_A10002B_001,SE_A10002B_002,SE_A10002B_003,SE_A10002B_004,SE_A10002B_005,SE_A10002B_006,SE_A10002B_007,SE_A10002B_008,ACS21_5yr_B25009001,ACS21_5yr_B25009002,ACS21_5yr_B25009003,ACS21_5yr_B25009004,ACS21_5yr_B25009005,ACS21_5yr_B25009006,ACS21_5yr_B25009007,ACS21_5yr_B25009008,ACS21_5yr_B25009009,ACS21_5yr_B25009010,ACS21_5yr_B25009011,ACS21_5yr_B25009012,ACS21_5yr_B25009013,ACS21_5yr_B25009014,ACS21_5yr_B25009015,ACS21_5yr_B25009016,ACS21_5yr_B25009017,ACS21_5yr_B25009001s,ACS21_5yr_B25009002s,ACS21_5yr_B25009003s,ACS21_5yr_B25009004s,ACS21_5yr_B25009005s,ACS21_5yr_B25009006s,ACS21_5yr_B25009007s,ACS21_5yr_B25009008s,ACS21_5yr_B25009009s,ACS21_5yr_B25009010s,ACS21_5yr_B25009011s,ACS21_5yr_B25009012s,ACS21_5yr_B25009013s,ACS21_5yr_B25009014s,ACS21_5yr_B25009015s,ACS21_5yr_B25009016s,ACS21_5yr_B25009017s,ACS21_5yr_B19019001,ACS21_5yr_B19019002,ACS21_5yr_B19019003,ACS21_5yr_B19019004,ACS21_5yr_B19019005,ACS21_5yr_B19019006,ACS21_5yr_B19019007,ACS21_5yr_B19019008,ACS21_5yr_B19019001s,ACS21_5yr_B19019002s,ACS21_5yr_B19019003s,ACS21_5yr_B19019004s,ACS21_5yr_B19019005s,ACS21_5yr_B19019006s,ACS21_5yr_B19019007s,ACS21_5yr_B19019008s,ACS21_5yr_B25010001,ACS21_5yr_B25010002,ACS21_5yr_B25010003,ACS21_5yr_B25010001s,ACS21_5yr_B25010002s,ACS21_5yr_B25010003s
"06037101110","Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","140","00","0004200",,,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101110","Census Tract 1011.10",,,,2.54,644,200,234,86,97,21,6,0,1494,850,135,238,329,108,35,5,0,644,200,234,86,97,21,6,0,74.54546,81.21212,39.39394,50.90909,67.27273,43.63636,26.66667,5.454545,7.878788,72.72727,49.09091,50.30303,39.39394,33.33333,20,7.272727,7.878788,68529,30625,92500,57271,98839,188125,,,17158.1818181818,13578.1818181818,28305.4545454545,21747.2727272727,16249.0909090909,73952.7272727273,,,2.54,2.66,2.38,0.1272727,0.1333333,0.2060606
"06037101122","Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","140","00","0004201",,,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101122","Census Tract 1011.22",,,,3.09,344,116,43,48,36,24,77,0,1372,1028,173,359,147,252,8,60,29,344,116,43,48,36,24,77,0,101.2121,61.21212,45.45454,51.51515,43.63636,48.48485,7.878788,30.90909,24.24242,106.6667,66.06061,27.87879,28.48485,26.66667,23.63636,72.12122,7.878788,108198,50417,130769,,107222,,135601,,15108.4848484849,28315.7575757576,13844.2424242424,,52390.9090909091,,24092.1212121212,,3.09,3.04,3.24,0.2484848,0.2,0.8
"06037101220","Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","140","00","0004202",,,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101220","Census Tract 1012.20",,,,2.64,762,261,256,71,63,80,14,17,1357,595,171,145,120,92,56,11,0,762,261,256,71,63,80,14,17,121.8182,101.8182,92.12122,39.39394,35.75758,33.93939,22.42424,10.30303,7.878788,96.9697,46.06061,80.60606,29.09091,30.30303,40,12.72727,15.75758,59119,37500,58958,86083,79688,90441,,,5581.81818181818,12576.9696969697,4719.39393939394,31000.6060606061,38788.4848484848,18956.3636363636,,,2.64,2.83,2.49,0.1757576,0.3575757,0.2121212
"06037101221","Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","140","00","0004203",,,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101221","Census Tract 1012.21",,,,2.52,1140,292,345,240,144,63,28,28,1450,310,120,97,59,11,0,23,0,1140,292,345,240,144,63,28,28,173.9394,75.15151,55.75758,42.42424,41.21212,10.90909,7.878788,21.81818,7.878788,164.2424,84.84849,150.9091,68.48485,60.60606,34.54546,27.27273,26.06061,48305,38077,,75759,102578,117438,,,7232.12121212121,7874.54545454546,,23937.5757575758,57176.9696969697,58837.5757575758,,,2.52,2.1,2.64,0.1939394,0.4121212,0.2242424
"06037101222","Census Tract 1012.22, Los Angeles County, California","ACSSF","ca","140","00","0004204",,,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101222","Census Tract 1012.22",,,,2.88,816,193,217,211,80,115,0,0,935,119,9,14,36,60,0,0,0,816,193,217,211,80,115,0,0,89.69697,55.15152,9.69697,19.39394,38.18182,40.60606,7.878788,7.878788,7.878788,108.4848,87.27273,76.9697,64.84849,48.48485,68.48485,7.878788,7.878788,32106,11906,41067,33649,,,,,6676.36363636364,1507.87878787879,10694.5454545455,8703.63636363636,,,,,2.88,3.26,2.82,0.3090909,0.2909091,0.3636364
"06037101300","Census Tract 1013, Los Angeles County, California","ACSSF","ca","140","00","0004205",,,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101300","Census Tract 1013",,,,2.84,242,0,82,118,31,11,0,0,1420,1178,215,435,200,271,57,0,0,242,0,82,118,31,11,0,0,99.39394,105.4545,50.90909,86.66666,46.66667,44.84848,27.87879,7.878788,7.878788,54.54546,7.878788,27.87879,45.45454,25.45455,10.30303,7.878788,7.878788,111393,,111161,150556,120714,176818,,,11066.0606060606,,11511.5151515152,21513.9393939394,28240.6060606061,59087.2727272727,,,2.84,2.79,3.06,0.1090909,0.1212121,0.2363636
"06037101400","Census Tract 1014, Los Angeles County, California","ACSSF","ca","140","00","0004206",,,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101400","Census Tract 1014",,,,2.57,387,200,140,29,18,0,0,0,1304,917,144,301,159,264,23,26,0,387,200,140,29,18,0,0,0,132.1212,120.6061,39.39394,75.15151,52.72727,75.75758,22.42424,20,7.878788,76.36364,72.12122,51.51515,20,15.75758,7.878788,7.878788,7.878788,68000,36563,61250,95313,111200,,,,17623.0303030303,17298.1818181818,20796.3636363636,42808.4848484848,11046.0606060606,,,,2.57,2.94,1.68,0.1454545,0.1636364,0.2121212
"06037102103","Census Tract 1021.03, Los Angeles County, California","ACSSF","ca","140","00","0004207",,,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102103","Census Tract 1021.03",,,,2.64,250,66,82,20,24,58,0,0,669,419,114,125,79,90,11,0,0,250,66,82,20,24,58,0,0,69.69697,45.45454,24.24242,27.87879,27.87879,32.72727,10.90909,7.878788,7.878788,70.30303,26.06061,27.27273,10.30303,13.33333,53.33333,7.878788,7.878788,65481,49000,48750,117813,125938,34097,,,15489.696969697,18970.9090909091,23983.0303030303,40769.0909090909,15393.9393939394,20127.2727272727,,,2.64,2.56,2.78,0.2363636,0.1939394,0.4969697
"06037102104","Census Tract 1021.04, Los Angeles County, California","ACSSF","ca","140","00","0004208",,,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102104","Census Tract 1021.04",,,,2.88,289,59,27,124,49,30,0,0,1310,1021,250,218,269,223,33,28,0,289,59,27,124,49,30,0,0,89.69697,103.0303,72.12122,50.90909,77.57576,69.09091,20.60606,26.06061,7.878788,70.90909,33.93939,30.30303,49.69697,23.0303,23.0303,7.878788,7.878788,91402,37109,114028,77234,215156,82792,,,11461.8181818182,14344.8484848485,13753.3333333333,27920.6060606061,45580.6060606061,40706.6666666667,,,2.88,2.82,3.09,0.1757576,0.2,0.3939394
"06037102105","Census Tract 1021.05, Los Angeles County, California","ACSSF","ca","140","00","0004209",,,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102105","Census Tract 1021.05",,,,3.02,251,83,48,70,14,21,8,7,554,303,18,110,35,87,50,0,3,251,83,48,70,14,21,8,7,51.51515,53.93939,8.484848,30.90909,17.57576,50.30303,15.75758,7.878788,4.848485,37.57576,26.06061,16.36364,33.33333,13.33333,14.54545,6.060606,7.272727,84519,50893,88125,71042,196622,53304,,,9804.24242424242,13028.4848484849,10763.6363636364,24918.1818181818,4327.87878787879,11311.5151515152,,,3.02,3.33,2.65,0.1878788,0.2242424,0.430303
